Title;Primary Category 1;Secondary Category 1;Tertiary Category 1;Primary Category 2;Secondary Category 2;Tertiary Category 2;Primary Category 3;Secondary Category 3;Tertiary Category 3
Hierarchical categorization of edit operations for separately committing large refactoring results;software maintenance;refactoring;;software maintenance;change patterns and evolution;;MSR techniques;tool development;
Variability-Aware Differencing with DiffDetective;MSR techniques;tool development;;software maintenance;change patterns and evolution;;;;
Towards Automated Detection of Unethical Behavior in Open-Source Software Projects;collaboration and coordination;human factors and values;;software governance;licensing;;software quality;;
Program merge conflict resolution via neural transformers;software maintenance;code merge;;MSR techniques;tool development;;;;
Heterogeneous defect prediction;software quality;defects;prediction;;;;;;
UTANGO: untangling commits with context-aware, graph-based, code change clustering learning model;software maintenance;change patterns and evolution;;MSR techniques;tool development;;;;
Automating the removal of obsolete TODO comments;MSR techniques;tool development;;software maintenance;refactoring;;development support and automation;;
Exploring the under-explored terrain of non-open source data for software engineering through the lens of federated learning;software governance;open-sourcing;;MSR techniques;dataset and benchmark creation;;;;
A Tutorial on Software Engineering for FMware;development support and automation;generation;code generation;development support and automation;information retrieval;;;;
Why we refactor? confessions of GitHub contributors;software maintenance;refactoring;;;;;;;
Execution-Free Program Repair;software quality;defects;fixes;development support and automation;ticket and task resolution;;;;
tsDetect: an open source test smells detection tool;MSR techniques;tool development;;software quality;tests;;software maintenance;technical debt;
Turnover-induced knowledge loss in practice;no MSR study;;;;;;;;
Automating repetitive code changes using examples;software maintenance;code and change prediction;;software maintenance;change patterns and evolution;;;;
Effective assignment and assistance to software developers and reviewers;software quality;code reviews;;development support and automation;recommendations;;collaboration and coordination;;
Predicting pull request completion time: a case study on large scale cloud services;software maintenance;effort estimation;;development support and automation;ticket and task resolution;;;;
Classifying edits to variability in source code;software maintenance;change patterns and evolution;;MSR techniques;tool development;;;;
AdaptivePaste: Intelligent Copy-Paste in IDE;development support and automation;generation;code generation;software maintenance;reuse and clones;;MSR techniques;tool development;
Semi-supervised pre-processing for learning-based traceability framework on real-world software projects;software maintenance;dependency management;;MSR techniques;tool development;;software architecture and design;conformance and evolution;
Feature trace recording;software architecture and design;features and variants;;software maintenance;change patterns and evolution;;software maintenance;dependency management;
Decomposing the rationale of code commits: the software developer’s perspective;no MSR study;;;;;;;;
Measuring the cost of regression testing in practice: a study of Java projects using continuous integration;software maintenance;development operations;CI/CD;software quality;tests;;;;
Understanding GCC builtins to develop better tools;software usage;popularity;;software architecture and design;patterns and anti-patterns;;;;
Unsupervised learning of general-purpose embeddings for code changes;software maintenance;change patterns and evolution;;development support and automation;generation;commit message generation;MSR techniques;tool development;
In war and peace: the impact of world politics on software ecosystems;software quality;vulnerabilities and security;;collaboration and coordination;communication;;;;
On the relationship between design discussions and design quality: a case study of Apache projects;software architecture and design;;;software quality;code metrics;;collaboration and coordination;communication;
SmartDebug: an interactive debug assistant for Java;software maintenance;debugging and logging;;MSR techniques;tool development;;development support and automation;recommendations;
Dead Code Removal at Meta: Automatically Deleting Millions of Lines of Code and Petabytes of Deprecated Data;MSR techniques;tool development;;software quality;code metrics;;development support and automation;;
Recommender system for model driven software development;development support and automation;recommendations;;software architecture and design;;;;;
Circumventing refactoring masking using fine-grained change recording;software maintenance;refactoring;;MSR techniques;tool development;;;;
Authorship attribution of source code: a language-agnostic approach and applicability in software engineering;software governance;licensing;;;;;;;
SmartCommit: a graph-based interactive assistant for activity-oriented commits;MSR techniques;tool development;;software maintenance;change patterns and evolution;;;;
Empirical review of Java program repair tools: a large-scale experiment on 2,141 bugs and 23,551 repair attempts;software quality;defects;fixes;development support and automation;ticket and task resolution;;;;
FSE 2024: Companion Proceedings of the 32nd ACM International Conference on the Foundations of Software Engineering;no MSR study;;;;;;;;
ESEC/FSE 2022: Proceedings of the 30th ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering;no MSR study;;;;;;;;
Evaluating Transfer Learning for Simplifying GitHub READMEs;software architecture and design;documentation;;development support and automation;generation;documentation generation;MSR techniques;dataset and benchmark creation;
Automated change impact analysis between SysML models of requirements and design;software maintenance;change impact analysis;;software architecture and design;requirements;;software architecture and design;conformance and evolution;
Community expectations for research artifacts and evaluation processes;no MSR study;;;;;;;;
Configuration smells in continuous delivery pipelines: a linter and a six-month study on GitLab;software maintenance;development operations;CI/CD;MSR techniques;tool development;;software architecture and design;configuration;
Effort-aware just-in-time defect prediction: simple unsupervised models could be better than supervised models;software quality;defects;prediction;;;;;;
One thousand and one stories: a large-scale survey of software refactoring;no MSR study;;;;;;;;
CCT5: A Code-Change-Oriented Pre-trained Model;software maintenance;change patterns and evolution;;development support and automation;;;MSR techniques;tool development;
ESEC/FSE 2023: Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering;no MSR study;;;;;;;;
On the scalability of Linux kernel maintainers' work;software maintenance;activity and productivty;;collaboration and coordination;organisational structures;;;;
DRACO: discovering refactorings that improve architecture using fine-grained co-change dependencies;software maintenance;refactoring;;MSR techniques;tool development;;software architecture and design;;
More insight from being more focused: analysis of clustered market apps;software usage;app stores;;software usage;patterns;;;;
Studying developer gaze to empower software engineering research and practice;software usage;patterns;;development support and automation;visualisation;;development support and automation;summarisation;
Managing the open cathedral;collaboration and coordination;organisational structures;;software maintenance;activity and productivity;;;;
Quantifying architectural debts;software architecture and design;patterns and anti-patterns;;software architecture and design;conformance and evolution;;;;
Contribution-Based Firing of Developers?;collaboration and coordination;organisational structures;;software maintenance;activity and productivity;;;;
On-Premise AIOps Infrastructure for a Software Editor SME: An Experience Report;software maintenance;development operations;MLOps;;;;;;
Reducing the search space of bug inducing commits using failure coverage;software quality;defects;detection;;;;;;
csDetector: an open source tool for community smells detection;collaboration and coordination;organisational structures;;MSR techniques;tool development;;;;
Automated patch extraction via syntax- and semantics-aware Delta debugging on source code changes;software maintenance;change patterns and evolution;;MSR techniques;tool development;;software maintenance;debugging and logging;
API code recommendation using statistical learning from fine-grained changes;development support and automation;recommendations;;development support and automation;generation;code generation;MSR techniques;tool development;
The MONDO collaboration framework: secure collaborative modeling over existing version control systems;software quality;vulnerabilities and security;;software maintenance;code merge;;MSR techniques;tool development;
FSE 2016: Proceedings of the 2016 24th ACM SIGSOFT International Symposium on Foundations of Software Engineering;no MSR study;;;;;;;;
LibComp: an IntelliJ plugin for comparing Java libraries;software maintenance;dependency management;;development support and automation;recommendations;;MSR techniques;tool development;
When, how, and why developers (do not) test in their IDEs;software quality;tests;;;;;;;
Crowd debugging;software quality;defects;;software maintenance;debugging and logging;;collaboration and coordination;communication;
Crash consistency validation made easy;software quality;defects;detection;MSR techniques;tool development;;;;
Code coverage at Google;software quality;tests;;;;;;;
"Reflections on the REST architectural style and ""principled design of the modern web architecture"" (impact paper award)";no MSR study;;;;;;;;
Effectiveness of code contribution: from patch-based to pull-request-based tools;collaboration and coordination;mechanisms;;software maintenance;activity and productivity;;;;
On well-separation of GR(1) specifications;no MSR study;;;;;;;;
